Gauge,25yr,50yr,100yr,25yr_a31,50yr_a31,100yr_a31,25yr_b31,50yr_b31,100yr_b31,25yr_mnsn,50yr_mnsn,100yr_mnsn,25yr_mnsn_b31,50yr_mnsn_b31,100yr_mnsn_b31
24,71.65899817456815,83.69778919213316,96.637208744561,66.36536591468113,76.56524413539063,87.45496250711898,76.20451083909208,89.40646429412553,103.51023191404224,76.43920188860706,91.37311256789938,108.0085256698268,81.90082463550587,97.97382842534071,115.74353774350816
25,74.43866332160339,86.69946114101151,99.829721495777,69.14485130533257,79.52217805219537,90.54735833538228,78.99006983121187,92.46536526682308,106.82540844223053,77.13779025377276,91.34540725193358,106.7561648099478,82.57606548252848,98.36768568060924,115.47379708160804
26,74.70333047835246,87.03949497093062,100.19236555048764,71.67375838876497,82.37208283516213,93.55562132353738,77.52624482771004,91.22488703765328,105.84919342270554,76.93594587818157,91.1695777542472,106.49253005044254,80.48156460750003,95.95097896290127,112.4813272991261
27,78.55095733890653,92.41592156561744,107.34395444053796,71.04525497299598,82.13795354226907,93.90731443834548,85.03859570382194,100.52009766633738,117.05416618866668,86.03885392952067,103.5975507835305,123.05075556771008,95.57538087221349,115.8273252174988,138.1602861659703
28,78.68678670474797,92.9281120773033,108.18000223836874,68.24190207849472,79.43205165790535,91.46518603738346,86.67298955073959,102.27879568082405,118.79820815800988,84.80207979184476,101.8848237397432,120.49531960732104,94.23054234350164,113.17049950991704,133.6673741752231
29,75.71818945180152,89.22882627203164,103.87738578491478,64.31410265770674,73.87047583614655,83.83152554153128,84.73516264527724,100.1175144255686,116.68647041642774,79.02427513433076,94.229286373732,110.698380028797,89.01084280200338,106.05557761608388,124.41808183607718
30,73.37565918037241,85.41465997401664,98.21600700810872,65.83330211782844,75.58961417655733,85.83193949589042,79.41276926090771,92.69156353145972,106.71705054289778,76.00155062383683,89.80812803967399,104.49405948771826,82.87994523313971,97.69174564441992,113.301529689603
31,73.65159783898332,86.92953455882503,101.32878525351134,65.71121496656997,76.3604337491914,87.73898911160305,80.16393484413445,94.95403768964675,110.94650512856292,78.19772240180986,94.02610761205158,111.40452302296724,87.80307200804907,105.89600648925132,125.50842603683242
32,80.04616282409673,95.10821290770323,111.3105705215031,69.13683026802916,80.3248857960038,92.07230946056723,89.04104494611322,106.0354524692724,124.14211089493725,86.59033379121435,104.81364785519092,124.81573528220224,97.54861848639092,118.28174293335016,140.83647239348124
33,78.43435176592155,92.71453616739151,108.0059139255752,68.37546761082649,79.3434310253142,90.95281226845105,86.51191973091218,102.4097639474833,119.2749523270482,84.1914371189827,100.62914929936676,118.37861299983912,92.65576887535732,110.49022803658772,129.62759280458374
